Action Date,Company Name,Ticker,Split Ratio,Fractional Behavior
2023-04-14,Arrival Ordinary Shares,ARVL,1:50,True
2023-04-12,ContextLogic Inc. Class A,WISH,1:30,True
2023-04-11,Blackboxstocks Inc.,BLBX,1:4,True
2023-04-05,The Alkaline Water Company Inc.,WTER,1:15,True
2023-04-04,"Cryptyde, Inc.",TYDE,1:50,True
2023-04-03,"China Natural Resources, Inc.",CHNR,1:5,True
2023-03-31,"Helbiz, Inc. Class A",HLBZ,1:50,True
2023-06-29,"Allarity Therapeutics, Inc.",ALLR,1:35,True
2023-03-24,"Freight Technologies, Inc.",FRGT,1:10,True
2023-03-24,Focus Universal Inc.,FCUV,3:2,True
2023-03-23,"Protagenic Therapeutics, Inc.",PTIX,1:4,True
2023-03-23,Alpha Architect Tail Risk ETF,CAOS,1:8,True
2023-03-23,Redhill Biopharma Ltd. American Depositary Shares,RDHL,1:40,True
2023-03-23,T Stamp Inc.,IDAI,1:5,True
2023-03-22,Baosheng Media Group Holdings Limited Ordinary shares,BAOS,1:6,True
2023-03-22,Luokung Technology Corp Ordinary Shares,LKCO,1:30,True
2023-03-22,"Via Renewables, Inc. Class A",VIA,1:5,True
2023-03-13,"Kiromic BioPharma, Inc.",KRBP,1:30,True
2023-10-06,"Kaleyra, Inc.",KLR,1:3,True
2023-03-06,"China Pharma Holdings, Inc.",CPHI,1:10,True
2023-03-06,"Harbor Custom Development, Inc.",HCDI,1:20,True
2023-03-06,Assure Holdings Corp.,IONM,1:20,True
2023-03-01,"Arcadia Biosciences, Inc.",RKDA,1:40,True
2023-02-24,"Windtree Therapeutics, Inc.",WINT,1:50,True
2023-02-23,"Reliance Global Group, Inc.",RELI,1:15,True
2023-02-22,Esports Entertainment Group Inc.,GMBL,1:100,True
2023-02-22,Amesite Inc.,AMST,1:12,True
2023-05-25,"Athenex, Inc.",ATNX,1:20,True
2023-06-26,"Genius Brands International, Inc.",GNUS,1:10,True
2023-02-10,ComSovereign Holding Corp.,COMS,1:100,True
2023-02-10,Intelligent Bio Solutions Inc.,INBS,1:20,True
2023-02-10,"Soligenix, Inc.",SNGX,1:15,True
2023-02-09,"NanoVibronix, Inc.",NAOV,1:20,True
2023-02-08,"Digital Ally, Inc.",DGLY,1:20,True
2023-02-02,Dynatronics Corporation,DYNT,1:5,True
2023-02-01,"Revelation Biosciences, Inc.",REVB,1:35,True
2023-02-01,Future FinTech Group Inc.,FTFT,1:5,True
2023-01-27,"Summit Wireless Technologies, Inc.",WISA,1:100,True
2023-01-26,Edible Garden AG Incorporated,EDBL,1:30,True
2023-01-26,Swvl Holdings Corp Class A Common Shares,SWVL,1:25,True
2023-01-25,Cemtrex Inc.,CETX,1:35,True
2023-01-23,Aptorum Group Limited Class A Ordinary Shares,APM,1:10,True
2023-01-23,Oragenics Inc.,OGEN,1:60,True
2023-01-20,ZW Data Action Technologies Inc.,CNET,1:5,True
2023-01-09,"Guardion Health Sciences, Inc.",GHSI,1:50,True
2023-01-06,"NextPlay Technologies, Inc.",NXTP,1:20,True
2023-01-05,Avalon GloboCare Corp.,ALBT,1:10,True
2023-01-05,"Tenax Therapeutics, Inc.",TENX,1:20,True
2023-01-04,Oblong Inc.,OBLG,1:15,True
2022-12-29,"NuZee, Inc.",NUZE,1:35,True
2022-12-23,"ReShape Lifesciences, Inc.",RSLS,1:50,True
2022-12-22,"ThermoGenesis Holdings, Inc.",THMO,1:45,True
2022-12-21,"Camber Energy, Inc",CEI,1:50,True
2022-12-20,MediWound Ltd. Ordinary Shares,MDWD,1:7,True
2022-12-20,"SiNtx Technologies, Inc.",SINT,1:100,True
2022-12-19,180 Life Sciences Corp.,ATNF,1:20,True
2022-12-16,Cosmos Holdings Inc.,COSM,1:25,True
2022-12-15,Bit Brother Limited Class A Ordinary Shares,BTB,1:15,True
2023-03-29,"Puhui Wealth Investment Management Co., Ltd. Ordinary Shares",PHCF,1:6,True
2022-12-13,Paysafe Limited,PSFE,1:12,True
2022-12-12,AirNet Technology Inc.,ANTE,1:4,False
2022-12-12,NF Energy Saving Corporation,BIMI,1:10,True
2023-09-07,Grom Social Enterprises Inc.,GROM,1:30,True
2022-12-09,"My Size, Inc.",MYSZ,1:25,True
2022-12-09,ENDRA Life Sciences Inc.,NDRA,1:20,True
2022-12-09,"UpHealth, Inc.",UPH,1:10,True
2022-12-01,"Petros Pharmaceuticals, Inc.",PTPI,1:10,True
2022-11-29,"CNS Pharmaceuticals, Inc.",CNSP,1:30,True
2022-11-25,Check-Cap Ltd.,CHEK,1:20,True
2022-11-23,"SuperCom, Ltd.",SPCB,1:10,True
2022-11-16,"NovaBay Pharmaceuticals, Inc.",NBY,1:35,True
2022-11-16,TIAN RUIXIANG Holdings Ltd Class A Ordinary Shares,TIRX,1:5,True
2022-11-14,"Kintara Therapeutics, Inc.",KTRA,1:50,True
2023-06-26,OncoSec Medical Incorporated,ONCS,1:22,True
2023-01-10,Code Chain New Continent Limited,CCNC,1:30,True
2022-11-08,Akerna Corp.,KERN,1:20,True
2022-11-04,"Gaucho Group Holdings, Inc. Common Stock",VINO,1:12,True
2023-03-31,"Ensysce Biosciences, Inc.",ENSC,1:20,True
2022-10-26,"Hoth Therapeutics, Inc.",HOTH,1:25,True
2022-10-21,"Kala Pharmaceuticals, Inc.",KALA,1:50,True
2023-07-05,Agrify Corporation,AGFY,1:10,True
2022-10-18,Air Industries Group,AIRI,1:10,True
2023-07-26,"9 Meters Biopharma, Inc.",NMTR,1:20,True
2023-03-15,Inpixon,INPX,1:75,True
2022-09-26,Color Star Technology Co.,CSCW,1:40,True
2023-08-18,"Aditxt, Inc.",ADTX,1:50,True
2022-09-09,"Infobird Co., Ltd",IFBD,1:5,True
2022-09-01,"ShiftPixy, Inc.",PIXY,1:100,True
2022-08-26,RiceBran Technologies,RIBT,1:10,True
2022-08-25,Nutriband Inc.,NTRB,7:6,True
2022-08-17,"TD Holdings, Inc.",GLG,1:5,True
2022-08-11,Sentage Holdings Inc. Ordinary Shares,SNTG,1:5,True
2022-08-10,"Artelo Biosciences, Inc.",ARTL,1:15,True
2022-08-05,"U.S. Well Services, Inc.",USWS,1:6,True
2022-07-28,Greenpro Capital Corp.,GRNQ,1:10,True
2022-07-15,"Enveric Biosciences, Inc.",ENVB,1:50,True
2022-07-13,"MMTec, Inc.",MTC,1:10,True
2022-07-08,"Avalo Therapeutics, Inc.",AVTX,1:12,True
2022-07-08,"IT Tech Packaging, Inc.",ITP,1:10,True
2022-06-27,"Borqs Technologies, Inc.",BRQS,1:16,True
2022-06-14,"TDH Holdings, Inc.",PETZ,1:20,True
2022-05-27,Blue Hat,BHAT,1:10,True
2022-05-25,Baosheng Media Group Holdings,BAOS,5:16,True
2023-10-05,"China SXT Pharmaceuticals, Inc.",SXTC,1:20,True
2048-08-20,"PolarityTE, Inc.",PTE,1:25,True
2023-05-10,Tonix Pharmaceuticals Holding Corp.,TNXP,1:32,True
2022-05-09,TherapeuticsMD,TXMD,1:50,True
2022-05-06,Meten Holding Group Ltd.,METX,1:30,True
2022-04-27,InVivo Therapeutics Holdings Corp,NVIV,1:25,True
2022-04-22,Ucommune International Ltd Ordinary Shares,UK,1:20,True
2022-04-07,"China Jo-Jo Drugstores, Inc.",CJJD,1:12,True
2022-04-06,Senmiao Technology Limited Common Stock,AIHS,1:10,True
2022-12-05,"America First Multifamily Investors, L.P. Beneficial Unit Certificates",BUCs,1:3,False
2023-09-13,"Avinger, Inc.",AVGR,1:20,True
2022-03-01,"Pulmatrix, Inc.",PULM,1:20,False
2022-02-28,"Massroots, Inc.",MSRT,1:300,True
2022-05-27,Hudson Capital Inc.,HUSN,5:11,True
2022-02-09,CYREN Ltd.,CYRN,1:20,True
2022-02-03,BIMI International Medical,BIMI,1:5,True
2022-01-31,ASCENT SOLAR TECHNOLOGIES INC,ASTI,1:2,True
2022-01-14,Naked Brand Group Limited Ordinary Shares,NAKD,1:15,True
2021-10-25,"P10 Holdings, Inc.",PIOE,7:10,False
2022-03-02,"Nxt-ID, Inc.",NXTD,1:10,True
2022-08-05,"U.S. Well Services, Inc.",USWS,2:7,True
2021-09-09,Superconductor Technologies Inc.,SCON,1:3,True
2021-08-30,ATIF Holdings Limited,ATIF,1:5,True
2021-08-02,SolarWinds Corporation,SWI,1:2,True
2021-08-04,Intec Pharma Ltd.,NTEC,1:4,True
2021-04-27,"InspireMD, Inc.",NSPR,1:15,True
2021-04-19,Akers Biosciences,AKER,2:1,True
2023-01-09,"Guardion Health Sciences, Inc.",GHSI,1:6,True
2021-03-01,"Tengasco, Inc.",TGC,1:12,True
2023-10-05,"China SXT Pharmaceuticals, Inc.",SXTC,1:4,True
2021-02-01,"Moleculin Biotech, Inc.",MBRX,1:6,True
2021-01-19,Internet Gold Golden Lines Ltd.,IGLDF,1:250,False
